CPU Usage: 0.375000%, Memory Usage: 25.837850%
CPU Usage: 1.433022%, Memory Usage: 25.825583%
CPU Usage: 0.062539%, Memory Usage: 25.827627%
CPU Usage: 1.681196%, Memory Usage: 25.824407%
CPU Usage: 1.001252%, Memory Usage: 25.824254%
CPU Usage: 0.686642%, Memory Usage: 25.813162%
CPU Usage: 0.937500%, Memory Usage: 25.810044%
CPU Usage: 0.124922%, Memory Usage: 25.806926%
CPU Usage: 2.495321%, Memory Usage: 25.825378%
CPU Usage: 0.438048%, Memory Usage: 25.825378%
CPU Usage: 1.251564%, Memory Usage: 25.849811%
CPU Usage: 0.124922%, Memory Usage: 25.849402%
CPU Usage: 1.182327%, Memory Usage: 25.862691%
CPU Usage: 0.998752%, Memory Usage: 25.862282%
CPU Usage: 1.374141%, Memory Usage: 25.871994%
CPU Usage: 0.563557%, Memory Usage: 25.905729%
CPU Usage: 1.871491%, Memory Usage: 25.771914%
CPU Usage: 0.125078%, Memory Usage: 25.771914%
CPU Usage: 1.621959%, Memory Usage: 25.762867%
CPU Usage: 0.996885%, Memory Usage: 25.762100%
CPU Usage: 0.815558%, Memory Usage: 25.790672%
CPU Usage: 0.124922%, Memory Usage: 25.771198%
CPU Usage: 0.872818%, Memory Usage: 25.774981%
CPU Usage: 1.246883%, Memory Usage: 25.790212%
CPU Usage: 1.246106%, Memory Usage: 25.802837%
CPU Usage: 0.935745%, Memory Usage: 25.812958%
CPU Usage: 0.187149%, Memory Usage: 25.810096%
CPU Usage: 0.750000%, Memory Usage: 25.789650%
CPU Usage: 1.001879%, Memory Usage: 25.760924%
CPU Usage: 0.567108%, Memory Usage: 25.776616%
CPU Usage: 0.312891%, Memory Usage: 25.786174%
CPU Usage: 0.871189%, Memory Usage: 25.770585%
CPU Usage: 0.124844%, Memory Usage: 25.758113%
CPU Usage: 1.251564%, Memory Usage: 25.770329%
CPU Usage: 0.748130%, Memory Usage: 25.776463%
CPU Usage: 0.877743%, Memory Usage: 25.808920%
CPU Usage: 0.000000%, Memory Usage: 25.799259%
CPU Usage: 1.373283%, Memory Usage: 25.815360%
CPU Usage: 0.688791%, Memory Usage: 25.818478%
CPU Usage: 1.064496%, Memory Usage: 25.780194%
CPU Usage: 0.686642%, Memory Usage: 25.773856%
CPU Usage: 0.687930%, Memory Usage: 25.776667%
CPU Usage: 0.124844%, Memory Usage: 25.782494%
CPU Usage: 1.376721%, Memory Usage: 25.782648%
CPU Usage: 0.500313%, Memory Usage: 25.769460%
CPU Usage: 1.120797%, Memory Usage: 25.815156%
CPU Usage: 0.561798%, Memory Usage: 25.821034%
CPU Usage: 0.187149%, Memory Usage: 25.815002%
CPU Usage: 1.926663%, Memory Usage: 25.817711%
CPU Usage: 0.250627%, Memory Usage: 25.817711%
CPU Usage: 0.937500%, Memory Usage: 25.828445%
CPU Usage: 0.249532%, Memory Usage: 25.830234%
CPU Usage: 0.749532%, Memory Usage: 25.843064%
CPU Usage: 1.252348%, Memory Usage: 25.852775%
CPU Usage: 2.576996%, Memory Usage: 25.865553%
CPU Usage: 1.880878%, Memory Usage: 25.870614%
CPU Usage: 2.677460%, Memory Usage: 25.870460%
CPU Usage: 0.062461%, Memory Usage: 25.870358%
CPU Usage: 1.252348%, Memory Usage: 25.861158%
CPU Usage: 0.562149%, Memory Usage: 25.824663%
CPU Usage: 5.597015%, Memory Usage: 25.833965%
CPU Usage: 0.124922%, Memory Usage: 25.823947%
CPU Usage: 0.873908%, Memory Usage: 25.811373%
CPU Usage: 0.314070%, Memory Usage: 25.810964%
CPU Usage: 1.372427%, Memory Usage: 25.814542%
CPU Usage: 0.561798%, Memory Usage: 25.817251%
CPU Usage: 0.312305%, Memory Usage: 25.836879%
CPU Usage: 0.375469%, Memory Usage: 25.837186%
CPU Usage: 0.563557%, Memory Usage: 25.836777%
CPU Usage: 1.742377%, Memory Usage: 25.836623%
CPU Usage: 0.562852%, Memory Usage: 25.830796%
CPU Usage: 0.997506%, Memory Usage: 25.798799%
CPU Usage: 0.062500%, Memory Usage: 25.797777%
CPU Usage: 1.500000%, Memory Usage: 25.811016%
CPU Usage: 0.437774%, Memory Usage: 25.797726%
CPU Usage: 0.815558%, Memory Usage: 25.801406%
CPU Usage: 0.062461%, Memory Usage: 25.830030%
CPU Usage: 1.120100%, Memory Usage: 25.819909%
CPU Usage: 2.180685%, Memory Usage: 25.842195%
CPU Usage: 3.130870%, Memory Usage: 25.792104%
CPU Usage: 2.066374%, Memory Usage: 25.799873%
CPU Usage: 1.436602%, Memory Usage: 25.812907%
CPU Usage: 0.187266%, Memory Usage: 25.812907%
CPU Usage: 1.562500%, Memory Usage: 25.809840%
CPU Usage: 0.926498%, Memory Usage: 25.784590%
CPU Usage: 1.373283%, Memory Usage: 25.809227%
CPU Usage: 0.249688%, Memory Usage: 25.818683%
CPU Usage: 0.062500%, Memory Usage: 25.825123%
CPU Usage: 0.941029%, Memory Usage: 25.802582%
CPU Usage: 0.375704%, Memory Usage: 25.802275%
CPU Usage: 1.184539%, Memory Usage: 25.805138%
CPU Usage: 0.124922%, Memory Usage: 25.802122%
CPU Usage: 0.625000%, Memory Usage: 25.784999%
CPU Usage: 1.060512%, Memory Usage: 25.765371%
CPU Usage: 1.125000%, Memory Usage: 25.781830%
CPU Usage: 0.499376%, Memory Usage: 25.784488%
CPU Usage: 0.687930%, Memory Usage: 25.778099%
