CPU Usage: 2.053516%, Memory Usage: 25.538172%
CPU Usage: 0.810979%, Memory Usage: 25.569198%
CPU Usage: 0.187500%, Memory Usage: 25.569147%
CPU Usage: 0.936330%, Memory Usage: 25.562605%
CPU Usage: 1.122895%, Memory Usage: 25.569301%
CPU Usage: 1.436602%, Memory Usage: 25.562400%
CPU Usage: 3.896920%, Memory Usage: 25.430170%
CPU Usage: 1.574344%, Memory Usage: 25.461860%
CPU Usage: 0.187852%, Memory Usage: 25.448980%
CPU Usage: 2.135678%, Memory Usage: 25.459100%
CPU Usage: 1.060512%, Memory Usage: 25.453478%
CPU Usage: 1.061174%, Memory Usage: 25.449286%
CPU Usage: 0.124844%, Memory Usage: 25.449235%
CPU Usage: 1.123596%, Memory Usage: 25.471725%
CPU Usage: 0.999375%, Memory Usage: 25.471418%
CPU Usage: 1.435705%, Memory Usage: 25.481590%
CPU Usage: 0.436954%, Memory Usage: 25.497128%
CPU Usage: 0.811993%, Memory Usage: 25.471776%
CPU Usage: 0.062500%, Memory Usage: 25.471776%
CPU Usage: 1.683292%, Memory Usage: 25.481539%
CPU Usage: 0.375940%, Memory Usage: 25.480823%
CPU Usage: 0.998752%, Memory Usage: 25.494215%
CPU Usage: 0.125000%, Memory Usage: 25.472338%
CPU Usage: 0.436409%, Memory Usage: 25.477092%
CPU Usage: 2.291022%, Memory Usage: 25.453938%
CPU Usage: 0.687071%, Memory Usage: 25.457158%
CPU Usage: 1.061836%, Memory Usage: 25.450922%
CPU Usage: 0.312110%, Memory Usage: 25.431601%
CPU Usage: 0.812500%, Memory Usage: 25.445095%
CPU Usage: 1.000000%, Memory Usage: 25.431141%
